id;citizen_id;phone_number;hash;idcard_image;idcard_image_content_type;valid;status;create_date;update_date
1;26642;+420999999999;Heard Island and McDonald Islands;../fake-data/blob/hipster.png;image/png;true;1;2020-10-28T19:08:48;2020-10-27T22:49:25
2;40206;+420999999999;Checking Account Object-based;../fake-data/blob/hipster.png;image/png;false;1;2020-10-28T17:46:59;2020-10-28T06:58:21
3;40001;+420999999999;Human Finland bifurcated;../fake-data/blob/hipster.png;image/png;true;0;2020-10-28T17:23:26;2020-10-27T23:07:04
4;68765;+420999999999;Chief;../fake-data/blob/hipster.png;image/png;true;0;2020-10-28T17:00:11;2020-10-28T11:54:54
5;75696;+420999999999;withdrawal Greens;../fake-data/blob/hipster.png;image/png;false;2;2020-10-28T15:09:50;2020-10-28T06:54:43
6;2188;+420999999999;uniform;../fake-data/blob/hipster.png;image/png;true;1;2020-10-28T14:52:49;2020-10-28T21:17:13
7;93098;+420999999999;Fresh Bacon;../fake-data/blob/hipster.png;image/png;false;0;2020-10-28T02:50:47;2020-10-28T08:17:36
8;96622;+420999999999;array Fresh;../fake-data/blob/hipster.png;image/png;false;2;2020-10-28T16:18:07;2020-10-28T14:52:22
9;67061;+420999999999;Customer-focused holistic;../fake-data/blob/hipster.png;image/png;true;0;2020-10-28T14:56:43;2020-10-28T03:23:02
10;91137;+420999999999;payment;../fake-data/blob/hipster.png;image/png;true;1;2020-10-28T14:16:13;2020-10-28T18:39:06
